FLAD1  ENSG00000160688
CRYBG3	ENSG00000080200
ST3GAL6	ENSG00000064225
NUP214	ENSG00000126883
SERPINI1	ENSG00000163536
KIAA1109	ENSG00000138688
KCNU1	ENSG00000215262
BLNK	ENSG00000095585
MKI67	ENSG00000148773
GLIPR1L2	ENSG00000180481
ODZ1	ENSG00000009694
MYH9	ENSG00000100345
SLC18A2	ENSG00000165646
RUNX3	ENSG00000020633
BSND	ENSG00000162399
CELSR2	ENSG00000143126
TOR1AIP1	ENSG00000143337
RBBP5	ENSG00000117222
ASAP2	ENSG00000151693
NEB	ENSG00000183091
GLS	ENSG00000115419
RAD54L2	ENSG00000164080
SLIT2	ENSG00000145147
FNDC9	ENSG00000172568
SLIT3	ENSG00000184347
HIVEP1	ENSG00000095951
FILIP1	ENSG00000118407
LAMA2	ENSG00000196569
INTS1	ENSG00000164880
MIOS	ENSG00000164654
SNX31	ENSG00000174226
UPF2	ENSG00000151461
FIBIN	ENSG00000176971
DCDC5	ENSG00000170959
CBX5	ENSG00000094916
DTX1	ENSG00000135144
NCOR2	ENSG00000196498
FRY	ENSG00000073910
N4BP2L2	ENSG00000244754
HIF1A	ENSG00000100644
ADAMTS17	ENSG00000140470
ADCY9	ENSG00000162104
ITGA3	ENSG00000005884
TLK2	ENSG00000146872
CNDP2	ENSG00000133313
DNMT1	ENSG00000130816
NCAN	ENSG00000130287
SLC25A1	ENSG00000100075
CLTCL1	ENSG00000070371
CHEK2	ENSG00000183765
CACNA1I	ENSG00000100346
VPS11	ENSG00000160695
LDLRAD4	ENSG00000168675
EMSY	ENSG00000158636
